"","ConsecutiveNumber","CruiseID","StationID","Net_index","Date","Longitude","Latitude","target_organisms","target_org_code","Gear","operation_mode","size_range_minimum_g","size_range_maximum_g","size_range_minimum_micrometers","size_range_maximum_micrometers","Catching_Depth_max_m","Catching_Depth_min_m","Biomass_determination","Contact_Person","filtered_volume_m3","day_night","SST","primprod","salinity","O2_dissolved","pH","chla","nitrate","silicate","SST_C_insitu","Temperature__C_insitu","Salinity_insitu","Oxygen__umol_kg_insitu","Chlorophyll__mg_m_3_insitu","Nitrate__uM_L_1_insitu","g_C_individual","X5.68E.14","X1.14E.13","X2.27E.13","X4.55E.13","X9.09E.13","X1.82E.12","X3.64E.12","X7.28E.12","X1.46E.11","X2.91E.11","X5.82E.11","X1.16E.10","X2.33E.10","X4.66E.10","X9.31E.10","X0.00000000186","X0.00000000373","X0.00000000745","X0.0000000149","X0.0000000298","X0.0000000596","X0.000000119","X0.000000238","X0.000000477","X0.000000954","X0.00000191","X0.00000381","X0.00000763","X0.0000153","X0.0000305","X0.000061","X0.000122","X0.000244","X0.000488","X0.000977","X0.00195","X0.00391","X0.00781","X0.0156","X0.0313","X0.0625","X0.125","X0.25","X0.5","X1","X2","X4","X8","X16","X32","X64","X128","X256","X512","X1020","NBSS_slope","Comment","Old_target_organisms","OKtarget_organisms","target_target_org_code_code","log10_1X_chla_insitu","target.org.colour","target_organisms_UVP_NET","slope.clean","slope_OSLR_max.to.NA","intercept_OSLR_max.to.NA","p_value_olsr","r.square.olsr","N.bins.used","x.value.of.maximum","rob_reg__slope","rob_reg_intercept","slope_ratio_OLSR_RR"
"326","#REF!","M153","48","","2019-03-10",12.41765,-21.6761,"zooplankton",3,"Multinet","multiple opening-closing devices",0.001,0.1,NA,NA,200,NA,"inferred from particle area (formalin-preserved)","Tim Dudeck",NA,"",17.186073,1954.88501,35,"5",8.194,0.153462,4,6,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.568408295,2.83823152,4.302000049,33.0134351,100.0438729,38.5237222,19.00203304,7.869274291,20.56992681,11.04831472,7.362874001,5.752484775,3.084719866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22454747,"","zooplankton","zooplankton","3",NA,"dodgerblue","zooplankton",-0.22454747,-0.509149604089879,-0.548990253558223,0.000636835205029465,0.829722208030453,9,3.05e-05,-0.628186838765273,0.460198547110262,1.12637058858514
"NA.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.476182300495439,0.150004475931199,1.14335984040979
"NA.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.512300312993883,-0.531477381819473,0.993849879018048
"NA.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.28119811095576,-3.41276539299591,1.05684132996826
"NA.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.37680292514585,-3.11842386263163,1
"NA.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.68805336237942,-4.38529365569463,0.946853296387418
"NA.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.726068933802919,-1.47142617671392,0.96661750932135
"NA.40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.858909564929513,-1.77890657995001,0.999979137424317
"1063","#REF!","RAPROCAN1810","12","","10/01/2018",-14.3755,28.9392,"zooplankton",3,"WP-2","",NA,NA,200,NA,200,NA,"Estimated from Biovolume","S.Her�ndez-Le�n / JM. Landeira",12.117981754386,"day",20,444.81192,36,"5",8.207281,0.036217,0,1,23.04,19.02,36.5,NA,0.18,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35449632038055,1.28315839484959,6.86693912033715,40.2332944288779,127.248486574797,123.136388036167,84.0948464995784,44.293208267085,20.3075239031303,8.30337118720217,3.71306956417999,1.53546092714243,0.694882498077627,0.294759001538914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.210348431,"","zooplankton","zooplankton","3",0.0718820073061254,"dodgerblue","zooplankton",-1.210348431,-1.04237664233002,-3.54384283370478,8.06283720751834e-08,0.976751888109043,10,1.91e-06,-0.991450041872956,-3.31328183443046,0.99932452411714
"1064","#REF!","RAPROCAN1810","10","","10/01/2018",-13.7052,28.8022,"zooplankton",3,"WP-2","",NA,NA,200,NA,200,NA,"Estimated from Biovolume","S.Her�ndez-Le�n / JM. Landeira",16.2984095238095,"day",20,520,36,"5",8.202994,0.040719,0,1,22.28,17.75,36.36,NA,0.26,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106725544915578,0.359680986534927,0.83759286373328,9.28541648059103,47.886520212934,121.107597742769,112.808099770896,61.4133964816012,30.5637114314069,19.0276809922255,10.085313629282,5.10104609963518,2.8558365386915,1.68666737817076,1.09530525278636,0.30066069541386,0.325987672683931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.95485292,"","zooplankton","zooplankton","3",0.100370545117563,"dodgerblue","zooplankton",-0.95485292,-0.844941544715759,-2.59097645927302,3.09072615158881e-11,0.989542886963448,12,1.91e-06,-1.01992144581783,-3.38535853788442,1.0130402810417
"1065","#REF!","RAPROCAN1810","7","","10/01/2018",-13.2063,28.7092,"zooplankton",3,"WP-2","",NA,NA,200,NA,200,NA,"Estimated from Biovolume","S.Her�ndez-Le�n / JM. Landeira",10.9165987678855,"day",20,534,36,"5",8.199532,0.044321,0,1,22.93,18.75,36.42,NA,0.23,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454585319890231,0.538745864706714,0.40768052612773,1.14739695577974,15.5824523079219,85.5682410270318,217.232963493172,157.717315836274,88.5305709384121,52.5674943540375,25.6661901837295,12.9148591387083,6.37338274793979,2.05827285399809,1.98835840734456,0.67037856231543,0.677877363722473,0.482357475452824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.808238215,"","zooplankton","zooplankton","3",0.0899051114393979,"dodgerblue","zooplankton",-0.808238215,-0.883302743633033,-2.63295692354316,2.7628299969832e-10,0.983802039869902,12,1.91e-06,-0.980114857307965,-3.158523536876,0.992863240471408
"1066","#REF!","RAPROCAN1810","108","","10/01/2018",-14.0487,27.5237,"zooplankton",3,"WP-2","",NA,NA,200,NA,200,NA,"Estimated from Biovolume","S.Her�ndez-Le�n / JM. Landeira",12.6547,"day",20,779.303955,36,"5",8.196212,0.053929,0,1,21.86,18.65,36.07,NA,0.23,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.137429290153328,1.42988216656068,10.6306497605234,55.8168231383792,158.704394858278,132.835222082035,77.9728283910498,34.5295468242346,16.4683407458125,7.67105672261524,1.95899139297541,1.20067248979839,0.689278243114091,0.155998077094794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1748254,"","zooplankton","zooplankton","3",0.0899051114393979,"dodgerblue","zooplankton",-1.1748254,-1.13154406551265,-4.01324039386662,3.72137368114921e-08,0.980830009426491,10,1.91e-06,-0.92931126847536,-3.07157423707459,1.01931130561233
"1067","#REF!","RAPROCAN1810","104","","10/01/2018",-13.707,27.2765,"zooplankton",3,"WP-2","",NA,NA,200,NA,200,NA,"Estimated from Biovolume","S.Her�ndez-Le�n / JM. Landeira",10.8155807692308,"day",19.000204,1761,36,"5",8.191538,0.099243,0,1,18.73,16.8,36.34,NA,0.18,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108429457478057,3.02232554882919,8.99496375816886,8.37436386907297,5.47280979545017,21.7016910442746,97.5492254423901,146.010727309946,139.376728255164,101.072062445162,43.2107863945665,20.7237725582987,9.45094980199245,6.12283649172177,1.39510435064151,0.905199188029964,0.376951436274089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.268336642,"","zooplankton","zooplankton","3",0.0718820073061254,"dodgerblue","zooplankton",-1.268336642,-1.02275637596991,-3.39370965143607,1.15057295509204e-07,0.97459620168256,10,1.91e-06,-0.841555180694216,-2.51920446403916,0.992927457061544
"1068","#REF!","RAPROCAN1810","309","","10/01/2018",-14.178,26.6305,"zooplankton",3,"WP-2","",NA,NA,200,NA,200,NA,"Estimated from Biovolume","S.Her�ndez-Le�n / JM. Landeira",7.72722712895377,"day",18.991398,1429.22669,36,"5",8.194167,0.125992,0,1,22.85,17.38,36.37,NA,0.23,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256848525281875,1.11338916208433,1.24130344971104,2.11964614454908,20.9147771395893,71.8189448415344,186.133584784284,176.46753595199,108.17472555831,51.4498515874653,25.1191777305544,14.9122843111717,5.93205816886942,4.84476408858836,2.42988047311009,1.08716049215856,0.54996737402686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.90156066,"","zooplankton","zooplankton","3",0.0899051114393979,"dodgerblue","zooplankton",-0.90156066,-0.879325591097908,-2.5734464548231,2.51698804998325e-10,0.990069704573127,11,1.91e-06,-1.08440137755322,-3.70408111440337,0.961246143639152
"1069","#REF!","RAPROCAN1810","306","","10/01/2018",-14.5007,26.8613,"zooplankton",3,"WP-2","",NA,NA,200,NA,200,NA,"Estimated from Biovolume","S.Her�ndez-Le�n / JM. Landeira",27.480486438152,"day",20,999.666077,36,"5",8.19773,0.050455,0,1,23.1,18.25,36.4,NA,0.2,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044124021036647,0.33202855161985,0.194674884538736,0.344294027646399,6.69690482569836,28.0996505670913,82.37454655539,77.9760369182599,49.4225360745424,22.7182365626761,11.3994749502384,5.47346629518876,2.96212089152076,1.66684249482541,0.600878112393249,0.0424415528620938,0.128487101616918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.434716907,"","zooplankton","zooplankton","3",0.0791812460476248,"dodgerblue","zooplankton",-1.434716907,-1.07801437346859,-3.91935617412303,9.28979907037129e-07,0.938685475349992,11,1.91e-06,-0.838944167825881,-2.54279927080489,1.00714871992664
"1070","#REF!","RAPROCAN1810","302","","10/01/2018",-14.9663,27.229,"zooplankton",3,"WP-2","",NA,NA,200,NA,200,NA,"Estimated from Biovolume","S.Her�ndez-Le�n / JM. Landeira",15.8679766666667,"day",20,544.617126,36,"5",8.202591,0.045308,0,1,20.68,16.92,36.24,NA,0.41,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.540697972197631,3.51335063267358,2.39029045052655,2.12441523900153,18.362076813637,40.8249809448458,104.67236484453,123.363595607901,90.5175603120868,38.665524503075,21.3247545343506,9.82393857439853,5.06395273291992,3.84947132917883,2.59812154132147,1.16762594833824,0.384822179562938,0.184950973267451,0.0633735436545218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.915435612,"","zooplankton","zooplankton","3",0.14921911265538,"dodgerblue","zooplankton",-0.915435612,-0.958992422770258,-2.99339394683097,1.48502524539999e-10,0.985691123098181,12,3.81e-06,-0.873185006151537,-2.57009239084979,1.01158716355666
"1071","#REF!","RAPROCAN1810","507","","10/01/2018",-15.2875,27.4825,"zooplankton",3,"WP-2","",NA,NA,200,NA,200,NA,"Estimated from Biovolume","S.Her�ndez-Le�n / JM. Landeira",17.0707405985319,"day",20,482.723083,36,"5",8.20516,0.043867,0,1,19.82,19.79,36.67,NA,0.16,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287879300498807,0.345998858656865,0.56258483665906,0.780940883396501,10.0072875667728,28.1690825358507,101.340478793818,97.1887134081638,65.2296575625551,27.7124868931993,18.1733427907586,9.3435287366762,3.72247432863994,3.01675226056744,1.06857034777823,0.45400386030904,0.256650746843792,0.167107287618246,0.0685307680233581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.044615816,"","zooplankton","zooplankton","3",0.0644579892269184,"dodgerblue","zooplankton",-1.044615816,-0.926792053123151,-3.03573728559412,3.0905217975094e-12,0.989499272596497,13,1.91e-06,-1.14135271845866,-4.05064031264515,0.99140611592948
