ConsecutiveNumber,CruiseID,StationID,Net_index,Date,Longitude,Latitude,target_organisms,target_org_code,Gear,operation_mode,sizerangeminimum_g,sizerangeMax_g,size_range_minimum_micron,size_range_maximum_micron,Catching_Depth_max_m,Catching_Depth_min_m,Biomass_determination,Contact_Person,filtered_volume_m3,day_night,SST_model,primprod,salinity,O2_dissolved,pH,chla_model,nitrate_model,silicate_model,SST_C_insitu,Temperature_C_insitu,Salinity_insitu,Oxygen__umol_kg_insitu,Chlorophyll__mg_m3_insitu,Nitrate__uM_L1_insitu,log_mm3_individual_insitu,-10.2041199826559,-9.90308998699194,-9.60205999132796,-9.30102999566398,-9,-8.69897000433602,-8.39794000867204,-8.09691001300806,-7.79588001734408,-7.4948500216801,-7.19382002601611,-6.89279003035213,-6.59176003468815,-6.29073003902417,-5.98970004336019,-5.68867004769621,-5.38764005203223,-5.08661005636825,-4.78558006070427,-4.48455006504029,-4.1835200693763,-3.88249007371232,-3.58146007804834,-3.28043008238437,-2.97940008672038,-2.6783700910564,-2.37734009539242,-2.07631009972843,-1.77528010406445,-1.47425010840047,-1.17322011273649,-0.872190117072509,-0.571160121408528,-0.270130125744547,0.0308998699194346,0.33192986558341,0.632959861247397,0.933989856911378,1.23501985257536,1.53604984823934,1.83707984390332,2.1381098395673,2.43913983523128,2.74016983089526,3.04119982655924,3.34222982222323,3.64325981788721,3.94428981355119,4.24531980921517,4.54634980487915,4.84737980054313,5.14840979620711,5.4494397918711,5.75046978753507,6.05149978325976,6.35252977892375,slope,Std.Error,minimum,maximum,comment,Conductivity_Mathilde,Salinity_Mathilde,Oxygen_Mathilde,AOU_Mathilde,MLD_Mathilde,Phosphates_Mathilde,Silicates_Mathilde,Temperature_Mathilde,Nitrates_Mathilde,Biomass_phytoplankton__ug_m3,,,,,,,,,,,,,
21,WHI_15,197_66,,1966-05-30,-52.55,-34.07,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,480,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,18,1770.97,33,5,8.0472,0.168223,1,5,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,4.67154598236084,33.7743110656738,0.235467657446861,3.18870353698731,44.6254959106445,0.512882828712463,8.25865650177002,17.8530998229981,2.2834734916687,NaN,,,
22,WHI_23,7_I_68,,1968-01-21,-18.03,29.67,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,220,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,21,309.46,36,5,8.2185,0.03167,0,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.02033042907715,36.8215103149414,0.227391481399536,-2.13773989677429,119.438591003418,0.164888963103294,0.790114045143127,19.487190246582,0.0541413836181164,NaN,,,
23,WHI_23,7_II_68,,1968-01-21,-18.08,29.57,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,360,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,21,309.57,36,5,8.2183,0.031884,0,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.02033042907715,36.8215103149414,0.227391481399536,-2.13773989677429,119.438591003418,0.164888963103294,0.790114045143127,19.487190246582,0.0541413836181164,NaN,,,
24,WHI_23,8_I_68,,1968-01-22,-19.35,26.33,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,220,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,22,404,36,5,8.2211,0.032,1,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.11844301223755,36.893310546875,0.227552965283394,-6.25717306137085,112.712074279785,0.110416881740093,0.895549118518829,20.3788909912109,0.0574002526700497,NaN,,,
25,WHI_23,8_II_68,,1968-01-22,-19.37,26.3,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,360,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,22,404,36,5,8.221,0.032102,1,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.11844301223755,36.893310546875,0.227552965283394,-6.25717306137085,112.712074279785,0.110416881740093,0.895549118518829,20.3788909912109,0.0574002526700497,NaN,,,
26,WHI_23,8_III_68,,1968-01-22,-19.43,26.17,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,580,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,22,401.54,36,5,8.2213,0.032652,1,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.11844301223755,36.893310546875,0.227552965283394,-6.25717306137085,112.712074279785,0.110416881740093,0.895549118518829,20.3788909912109,0.0574002526700497,NaN,,,
27,WHI_23,12_I_68,,1968-01-30,-23.08,12.27,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,200,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,25,593,35.98,4,8.2043,0.040721,1,2,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.36418724060059,35.6230125427246,0.208161443471909,4.18829965591431,38.8707733154297,0.00702600227668881,1.14446985721588,24.0599899291992,0.0178632233291864,NaN,,,
28,WHI_23,13_I_68,,1968-01-31,-24.12,8.48,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,160,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,27,445.77,35,4,8.2278,0.03434,0,2,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.55402326583862,35.5776100158691,0.204728007316589,-1.79788756370544,36.8478927612305,0.0367002673447132,1.52509665489197,26.0295085906982,0.0126989809796214,NaN,,,
29,WHI_23,13_II_68,,1968-01-31,-24.17,8.35,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,520,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,27,444,35,4,8.2304,0.034785,0,2,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.55402326583862,35.5776100158691,0.204728007316589,-1.79788756370544,36.8478927612305,0.0367002673447132,1.52509665489197,26.0295085906982,0.0126989809796214,NaN,,,
30,WHI_23,23_I_68,,1968-02-09,-33.37,-22.67,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,160,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,25,201,36,4,8.1717,0.025,1,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.92692708969116,36.8924102783203,0.199181124567986,-6.31529855728149,35.8762893676758,0.12690070271492,1.15687131881714,27.321310043335,0.0564681105315685,NaN,,,
31,WHI_23,23_II_68,,1968-02-09,-33.47,-22.6,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,320,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,25,202.63,36,4,8.1685,0.025,1,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.92692708969116,36.8924102783203,0.199181124567986,-6.31529855728149,35.8762893676758,0.12690070271492,1.15687131881714,27.321310043335,0.0564681105315685,NaN,,,
32,WHI_23,23_III_68,,1968-02-09,-33.5,-22.57,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,560,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,25,204.36,36,4,8.1669,0.025,1,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.92692708969116,36.8924102783203,0.199181124567986,-6.31529855728149,35.8762893676758,0.12690070271492,1.15687131881714,27.321310043335,0.0564681105315685,NaN,,,
33,WHI_23,24_I_68,,1968-02-10,-36.98,-24.1,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,120,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,24,214.26,36,4,8.1332,0.026049,1,2,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.86920022964478,36.6469116210937,0.20435905456543,-7.936448097229,34.0996284484863,0.0767353922128677,1.18136012554169,26.869499206543,0.0816850811243057,NaN,,,
34,WHI_23,26_I_68,,1968-02-12,-42.38,-28.07,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,54,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,23,216.51,36,4,8.1322,0.029,1,2.0571,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.58509731292725,36.3846893310547,0.213885590434074,-7.2805986404419,30.7234859466553,0.0760009959340096,2.2681827545166,25.4893913269043,0.811435580253601,NaN,,,
35,WHI_23,26_II_68,,1968-02-12,-42.45,-28.03,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,400,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,23,218.26,36,4,8.1307,0.029,1,2.8489,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.58509731292725,36.3846893310547,0.213885590434074,-7.2805986404419,30.7234859466553,0.0760009959340096,2.2681827545166,25.4893913269043,0.811435580253601,NaN,,,
36,WHI_23,26_III_68,,1968-02-12,-42.5,-29.98,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,590,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,21.036,222.67,36,5,8.1292,0.030223,1,2,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.50749778747559,36.3189888000488,0.21550427377224,-8,28.9399929046631,0.0535731017589569,2.1879825592041,24.9950103759766,0.70267128944397,NaN,,,
37,WHI_23,27_I_68,,1968-02-13,-45,-31.92,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,160,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,21,259.98,36,5,8.0933,0.035719,1,2,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.44519805908203,36.244987487793,0.217364400625229,-7.80074882507324,33.4127922058105,0.0734219700098038,2.32657408714294,24.2841091156006,0.837735593318939,NaN,,,
38,WHI_23,27_II_68,,1968-02-13,-45.05,-31.87,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,335,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,21,259.05,36,5,8.0912,0.035065,1,2,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.44519805908203,36.244987487793,0.217364400625229,-7.80074882507324,33.4127922058105,0.0734219700098038,2.32657408714294,24.2841091156006,0.837735593318939,NaN,,,
39,WHI_15,177_66,,1966-05-10,-16,33.75,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,600,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,20,308.64,36,5,8.2357,0.033072,0,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,4.87277603149414,36.5399131774902,0.236003890633583,-5.49928855895996,49.8959312438965,0.184497013688087,0.984434247016907,18.5939102172852,0.39561539888382,NaN,,,
40,WHI_23,5_68,,1966-01-18,-16.32,33.82,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,840,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,20,309.99,36,5,8.236,0.033079,0,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,4.83878374099731,36.5951118469238,0.236622974276543,-4.11522960662842,124.963790893555,0.0602506250143051,0.405395090579987,18.1459999084473,1.47582638263702,NaN,,,
41,WHI_23,6_I_68,,1966-01-20,-16.88,32.57,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,1000,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,20,323.14,36,5,8.2335,0.035756,0,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,,,,,NaN,,,
42,WHI_23,6_II_68,,1966-01-21,-16.9,32.52,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,90,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,20,320.79,36,5,8.2331,0.033055,0,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,,,,,NaN,,,
43,WHI_36_II_2,512_71,,1971-04-22,-16.4,32.78,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,1800,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,20,323.98,36,5,8.2339,0.033179,0,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,,,,,NaN,,,
