ConsecutiveNumber,CruiseID,StationID,Net_index,Date,Longitude,Latitude,target_organisms,target_org_code,Gear,operation_mode,size_range_minimum_g,size_range_maximum_g,size_range_minimum_micrometers,size_range_maximum_micrometers,Catching_Depth_max_m,Catching_Depth_min_m,Biomass_determination,Contact_Person,filtered_volume_m3,day_night,SST,primprod,salinity,O2_dissolved,pH,chla,nitrate,silicate,SST_C_insitu,Temperature__C_insitu,Salinity_insitu,Oxygen__umol_kg_insitu,Chlorophyll__mg_m_3_insitu,Nitrate__uM_L_1_insitu,g_C_individual,5.68E-14,1.14E-13,2.27E-13,4.55E-13,9.09E-13,1.82E-12,3.64E-12,7.28E-12,1.46E-11,2.91E-11,5.82E-11,1.16E-10,2.33E-10,4.66E-10,9.31E-10,0.00000000186,0.00000000373,0.00000000745,0.0000000149,0.0000000298,0.0000000596,0.000000119,0.000000238,0.000000477,0.000000954,0.00000191,0.00000381,0.00000763,0.0000153,0.0000305,0.000061,0.000122,0.000244,0.000488,0.000977,0.00195,0.00391,0.00781,0.0156,0.0313,0.0625,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,1020,NBSS_slope,Comment
28,WHI_23,13_I_68,,1968-01-31,-24.12,8.48,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,160,,inferred from length,Henrike Andresen/Heino Fock,,,27,445.435791,35,4,8.22845,0.034544,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,WHI_23,13_II_68,,1968-01-31,-24.17,8.35,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,520,,inferred from length,Henrike Andresen/Heino Fock,,,27,444.044464,35,4,8.230415,0.034851,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,WHI_23,23_I_68,,1968-02-09,-33.37,-22.67,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,160,,inferred from length,Henrike Andresen/Heino Fock,,,25,201,36,4,8.171174,0.025,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,WHI_23,23_II_68,,1968-02-09,-33.47,-22.6,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,320,,inferred from length,Henrike Andresen/Heino Fock,,,25,202.794952,36,4,8.168033,0.025,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,WHI_23,23_III_68,,1968-02-09,-33.5,-22.57,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,560,,inferred from length,Henrike Andresen/Heino Fock,,,25,203.422455,36,4,8.16747,0.025,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,WHI_23,24_I_68,,1968-02-10,-36.98,-24.1,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,120,,inferred from length,Henrike Andresen/Heino Fock,,,24,214.876358,36,4,8.132216,0.026024,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,WHI_23,26_I_68,,1968-02-12,-42.38,-28.07,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,54,,inferred from length,Henrike Andresen/Heino Fock,,,23,217.287064,36,4,8.131516,0.029,1,2.45876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,WHI_23,26_II_68,,1968-02-12,-42.45,-28.03,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,400,,inferred from length,Henrike Andresen/Heino Fock,,,23,218.502686,36,4,8.130298,0.029,1,2.87096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,WHI_23,26_III_68,,1968-02-12,-42.5,-29.98,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,590,,inferred from length,Henrike Andresen/Heino Fock,,,21.261282,221.299103,36,5,8.1292,0.030131,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,WHI_23,27_I_68,,1968-02-13,-45,-31.92,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,160,,inferred from length,Henrike Andresen/Heino Fock,,,21,259.926422,36,5,8.093163,0.035672,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,WHI_23,27_II_68,,1968-02-13,-45.05,-31.87,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,335,,inferred from length,Henrike Andresen/Heino Fock,,,21,259.356049,36,5,8.091901,0.035239,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,WHI_15,177_66,,1966-05-10,-16,33.75,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,600,,inferred from length,Henrike Andresen/Heino Fock,,,20,308.003937,36,5,8.235752,0.033245,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,WHI_23,5_68,,1966-01-18,-16.32,33.82,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,840,,inferred from length,Henrike Andresen/Heino Fock,,,20,310.001068,36,5,8.236,0.033452,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,WHI_23,6_I_68,,1966-01-20,-16.88,32.57,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,1000,,inferred from length,Henrike Andresen/Heino Fock,,,20,322.564636,36,5,8.233573,0.035378,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,WHI_23,6_II_68,,1966-01-21,-16.9,32.52,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,90,,inferred from length,Henrike Andresen/Heino Fock,,,20,322.227722,36,5,8.233301,0.034189,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,WHI_36_II_2,512_71,,1971-04-22,-16.4,32.78,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,1800,,inferred from length,Henrike Andresen/Heino Fock,,,20,323.939178,36,5,8.233667,0.033674,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,WHI_23,27_III_68,,1968-02-14,-45.13,-31.82,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,580,,inferred from length,Henrike Andresen/Heino Fock,,,21,259.017761,36,5,8.090917,0.035023,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,WHI_23,28_I_68,,1968-02-14,-47.57,-34,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,150,,inferred from length,Henrike Andresen/Heino Fock,,,20,306.156616,35,5,8.070817,0.043932,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,WHI_36_II_1,348_71,,1971-03-05,-54.55,-37.67,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,1040,,inferred from length,Henrike Andresen/Heino Fock,,,15,1360.4552,33.122322,6,8.059027,0.124379,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,WHI_36_II_1,350_I_71,,1971-03-05,-52.15,-37.52,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,119,,inferred from length,Henrike Andresen/Heino Fock,,,19,444.973846,35,5,8.067908,0.056217,3,3.147356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,WHI_36_II_1,350_II_71,,1971-03-05,-52.03,-37.37,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,262,,inferred from length,Henrike Andresen/Heino Fock,,,19,416.960266,35,5,8.068376,0.054547,2.798619,3.243537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,WHI_36_II_1,350_III_71,,1971-03-05,-51.92,-37.37,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,610,,inferred from length,Henrike Andresen/Heino Fock,,,19,404.221344,35,5,8.069034,0.054879,2.801497,3.022004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,WHI_36_II_1,354_I_71,,1971-03-06,-48.2,-38.7,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,100,,inferred from length,Henrike Andresen/Heino Fock,,,17,453.112976,35,5,8.064497,0.065637,3.14258,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,WHI_36_II_1,358_I_71,,1971-03-07,-43.78,-38.25,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,106,,inferred from length,Henrike Andresen/Heino Fock,,,17,449,35,5,8.053157,0.057421,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,WHI_36_II_1,358_II_71,,1971-03-07,-43.63,-38.22,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,212,,inferred from length,Henrike Andresen/Heino Fock,,,17,448.903534,35,5,8.054324,0.058336,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,WHI_36_II_1,358_III_71,,1971-03-07,-43.5,-38.22,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,1015,,inferred from length,Henrike Andresen/Heino Fock,,,17,447.687073,35,5,8.054877,0.059871,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,WHI_36_II_1,363_I_71,,1971-03-08,-39.37,-39.7,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,110,,inferred from length,Henrike Andresen/Heino Fock,,,15.415453,413.161621,35,6,8.100207,0.059567,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,WHI_36_II_1,363_II_71,,1971-03-08,-39.2,-39.7,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,328,,inferred from length,Henrike Andresen/Heino Fock,,,15.318692,413,35,6,8.103679,0.059013,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,WHI_36_II_1,363_III_71,,1971-03-08,-39.07,-39.7,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,800,,inferred from length,Henrike Andresen/Heino Fock,,,15.32614,413.528046,35,6,8.105985,0.058543,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,WHI_36_II_1,371_I_71,,1971-03-10,-30.67,-40,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,102,,inferred from length,Henrike Andresen/Heino Fock,,,14.93034,540.275024,34,5,8.256949,0.058222,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,WHI_36_II_1,371_II_71,,1971-03-10,-30.58,-40,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,200,,inferred from length,Henrike Andresen/Heino Fock,,,14.835754,538.712402,34,5,8.258024,0.057685,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,WHI_36_II_1,371_III_71,,1971-03-10,-30.5,-40,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,700,,inferred from length,Henrike Andresen/Heino Fock,,,14.893254,528.067078,34,5,8.259066,0.057688,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,WHI_36_II_1,380_I_71,,1971-03-12,-21.82,-38.12,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,110,,inferred from length,Henrike Andresen/Heino Fock,,,15,524.663086,34.931309,5,8.263741,0.052474,6,3.018806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,WHI_36_II_1,380_II_71,,1971-03-12,-21.73,-38.12,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,260,,inferred from length,Henrike Andresen/Heino Fock,,,15,524.089661,34.790905,5,8.262851,0.052277,6,3.047491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,WHI_36_II_1,380_III_71,,1971-03-12,-21.55,-38.12,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,708,,inferred from length,Henrike Andresen/Heino Fock,,,15,523.640259,34.502472,5,8.261648,0.052437,6,3.268968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,WHI_36_II_1,399_I_71,,1971-03-18,-9.95,-39.42,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,98,,inferred from length,Henrike Andresen/Heino Fock,,,13,609.135559,34,5,8.216,0.058292,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,WHI_36_II_1,399_II_71,,1971-03-18,-9.83,-39.43,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,310,,inferred from length,Henrike Andresen/Heino Fock,,,13,609.352783,34,5,8.216,0.058807,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,WHI_36_II_1,402_I_71,,1971-03-18,-7.5,-39.95,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,110,,inferred from length,Henrike Andresen/Heino Fock,,,12,547.671814,34,6,8.217,0.05762,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,WHI_36_II_1,402_II_71,,1971-03-18,-7.47,-39.97,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,320,,inferred from length,Henrike Andresen/Heino Fock,,,12,543.201965,34,6,8.217,0.057476,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,WHI_36_II_1,402_III_71,,1971-03-18,-7.42,-39.98,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,820,,inferred from length,Henrike Andresen/Heino Fock,,,12,542.360779,34,6,8.217,0.057325,6.00424,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,WHI_36_II_1,409_I_71,,1971-03-20,0.8,-37.73,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,110,,inferred from length,Henrike Andresen/Heino Fock,,,14.950486,383,34,5,8.227907,0.054192,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,WHI_36_II_1,409_II_71,,1971-03-20,0.75,-37.77,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,760,,inferred from length,Henrike Andresen/Heino Fock,,,14.715582,383,34,5,8.227956,0.053979,5.033154,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,WHI_36_II_1,412_I_71,,1971-03-21,4.8,-36.83,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,76,,inferred from length,Henrike Andresen/Heino Fock,,,15.972031,334.072906,34.99638,5,8.221006,0.046506,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
