"","ConsecutiveNumber","CruiseID","StationID","Net_index","Date","Longitude","Latitude","target_organisms","target_org_code","Gear","operation_mode","size_range_minimum_g","size_range_maximum_g","size_range_minimum_micrometers","size_range_maximum_micrometers","Catching_Depth_max_m","Catching_Depth_min_m","Biomass_determination","Contact_Person","filtered_volume_m3","day_night","SST","primprod","salinity","O2_dissolved","pH","chla","nitrate","silicate","SST_C_insitu","Temperature__C_insitu","Salinity_insitu","Oxygen__umol_kg_insitu","Chlorophyll__mg_m_3_insitu","Nitrate__uM_L_1_insitu","g_C_individual","X5.68E.14","X1.14E.13","X2.27E.13","X4.55E.13","X9.09E.13","X1.82E.12","X3.64E.12","X7.28E.12","X1.46E.11","X2.91E.11","X5.82E.11","X1.16E.10","X2.33E.10","X4.66E.10","X9.31E.10","X0.00000000186","X0.00000000373","X0.00000000745","X0.0000000149","X0.0000000298","X0.0000000596","X0.000000119","X0.000000238","X0.000000477","X0.000000954","X0.00000191","X0.00000381","X0.00000763","X0.0000153","X0.0000305","X0.000061","X0.000122","X0.000244","X0.000488","X0.000977","X0.00195","X0.00391","X0.00781","X0.0156","X0.0313","X0.0625","X0.125","X0.25","X0.5","X1","X2","X4","X8","X16","X32","X64","X128","X256","X512","X1020","NBSS_slope","Comment","Old_target_organisms","OKtarget_organisms","target_target_org_code_code","log10_1X_chla_insitu","target.org.colour","target_organisms_UVP_NET","slope.clean","new_slopes","rob_reg__slopes","p_values_olsr_slopes","r.square.olsr","ratio_slopes_rr_olsr"
"451","#REF!","ACEx/SIMTECO","13","","2012-06-13",-47.8407,-29.5031,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,5,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",23,595.735413,35,"5",8.065866,0.039681,1,4,20.74,20.74,36.71,NA,0.17,0.04,"gC m-3",NA,NA,NA,NA,NA,NA,1320000,50800000,23400000,904000,6700000,3260000,442000,929000,115000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.756726041,"","Phytoplankton","phytoplankton","4",0.0681858617461616,"forestgreen","phytoplankton",-0.756726041,-0.683548303342143,-0.743408122917171,0.0479597152137375,0.449956138413167,1.08757218660678
"452","#REF!","ACEx/SIMTECO","19","","2012-06-17",-49.2086,-28.9988,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,5,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",21,1026.88452,34.013695,"5",8.069041,0.147234,0,5,18.64,18.64,33.19,NA,1.5,NA,"gC m-3",NA,NA,NA,NA,NA,NA,NA,1.32e+08,28300000,5430000,5380000,5170000,2250000,1080000,809000,317000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.956535617,"","Phytoplankton","phytoplankton","4",0.397940008672038,"forestgreen","phytoplankton",-0.956535617,-0.935551170439211,-0.91633352706515,3.82244656902868e-05,0.922887100465849,0.979458479684185
"453","#REF!","ACEx/SIMTECO","20","","2012-06-18",-49.7563,-31.5075,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,5,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",21.069881,703.666199,34,"5",8.036606,0.055849,0,4,20.24,20.24,35.63,NA,1.06,NA,"gC m-3",NA,NA,NA,NA,NA,NA,2640000,1.97e+08,45200000,4.4e+07,10300000,6910000,2160000,1430000,1590000,465000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.952710055,"","Phytoplankton","phytoplankton","4",0.313867220369153,"forestgreen","phytoplankton",-0.952710055,-0.665352642574363,-0.931840594321664,0.0155975646637729,0.539163342478456,1.40052136971488
"454","#REF!","ACEx/SIMTECO","21","","2012-06-18",-49.8235,-31.4691,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,5,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",21.022278,734.172852,34,"5",8.036027,0.061407,0,4.0111,19.29,19.29,34.92,NA,1.41,NA,"gC m-3",NA,NA,NA,NA,NA,NA,NA,1.61e+08,63400000,37800000,11600000,12400000,3390000,2030000,1150000,4730000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.90760141,"","Phytoplankton","phytoplankton","4",0.382017042574868,"forestgreen","phytoplankton",-0.90760141,-0.799114546503248,-0.929377183186571,0.000493817466004187,0.84141826084414,1.16300871665185
"455","#REF!","ACEx/SIMTECO","22","","2012-06-18",-50.2388,-31.1762,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,5,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",20,1168.35291,34,"5",8.031301,0.107535,0,5,16.67,16.67,32.22,NA,2.25,0.1,"gC m-3",NA,NA,NA,NA,NA,NA,39800000,1.8e+08,33200000,15900000,11500000,20300000,3610000,2540000,1970000,1880000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.929926337,"","Phytoplankton","phytoplankton","4",0.511883360978874,"forestgreen","phytoplankton",-0.929926337,-0.663161507222645,-0.613011685633741,0.000177979878117694,0.842943837050711,0.924377665104638
"456","#REF!","ACEx/SIMTECO","25","","2012-06-19",-51.124,-33.7775,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,5,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",20.001295,967.725403,34,"5",8.050995,0.079779,1,4.066857,18.23,18.23,35.04,NA,1.59,0.18,"gC m-3",NA,NA,NA,NA,NA,NA,NA,2.39e+08,90300000,48800000,7910000,5280000,5320000,1430000,1540000,296000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.940819481,"","Phytoplankton","phytoplankton","4",0.413299764081252,"forestgreen","phytoplankton",-0.940819481,-1.11715463238428,-1.16053103196368,4.93453866623258e-06,0.956865285901964,1.03882756990124
"457","#REF!","ACEx/SIMTECO","27","","2012-06-19",-51.4153,-33.7426,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,5,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",19.60216,1025.11646,34,"5",8.049109,0.097352,1,5,19.81,19.81,36.11,NA,0.92,0.04,"gC m-3",NA,NA,NA,NA,NA,NA,NA,82100000,34600000,21100000,6110000,4280000,5540000,2240000,981000,127000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.767202974,"","Phytoplankton","phytoplankton","4",0.28330122870355,"forestgreen","phytoplankton",-0.767202974,-0.989959741449456,-0.927741387169534,3.39907533996532e-05,0.925408201027576,0.93715062171233
"458","#REF!","ACEx/SIMTECO","29","","2012-06-19",-51.7543,-33.6915,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,5,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",18.107357,1562,33.084278,"5",8.046924,0.12699,1,5,14.64,14.64,33.54,NA,1.46,0.18,"gC m-3",NA,NA,NA,NA,NA,NA,NA,4.34e+08,33700000,5.7e+07,18900000,14900000,8710000,2390000,578000,2370000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.966079963,"","Phytoplankton","phytoplankton","4",0.390935107103379,"forestgreen","phytoplankton",-0.966079963,-0.966079962827318,-1.02677641896741,0.000293116713667587,0.862999786483408,1.06282756963767
"459","#REF!","ACEx/SIMTECO","30","","2012-06-20",-52.1602,-33.6332,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,5,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",18,1790.30664,33,"5",8.043857,0.160781,1,5,14.49,14.49,31.85,NA,5.5,0.12,"gC m-3",NA,NA,NA,NA,NA,NA,NA,3.44e+08,256000000,54300000,30600000,5.5e+07,74200000,17300000,NA,4220000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.996757901,"","Phytoplankton","phytoplankton","4",0.812913356642856,"forestgreen","phytoplankton",-0.996757901,-0.690500281095576,-0.712270230374322,0.00219576756324883,0.813262882764726,1.03152779205854
"461","#REF!","AMT1","AMT1_02","","1995-09-25",-9.1461,48.9313,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,50,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",13,549.930908,35,"5.117756",8.210032,0.085765,4,1,16.65,16.58,35.51,NA,0.56,2.13,"gC m-3",NA,NA,NA,NA,NA,NA,6350000,3.27e+08,1660000,5740000,1650000,26800000,1480000,50100,69300,42200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.901354391,"","Phytoplankton","phytoplankton","4",0.193124598354462,"forestgreen","phytoplankton",-0.901354391,-1.07729715659982,-1.07686559125704,0.00729136044383819,0.614391954748707,0.999599399905466
"463","#REF!","AMT1","AMT1_04","","1995-09-26",-14.8529,47.9217,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,40,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",14,643.312927,35,"5.84744",8.224099,0.058981,4,1,17.43,15.38,35.55,NA,0.86,0.09,"gC m-3",NA,NA,NA,NA,NA,NA,11900000,8.72e+08,1080000,2990000,13500000,7250000,888000,376000,231000,2410000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.906403059,"","Phytoplankton","phytoplankton","4",0.269512944217916,"forestgreen","phytoplankton",-0.906403059,-0.71374276885943,-0.594100278344705,0.0484975069914384,0.403349193545141,0.832373096114284
"464","#REF!","AMT1","AMT1_05","","1995-09-27",-19.9849,47.0132,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,7,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",14.021075,631.681519,35,"6",8.233174,0.05624,4,1,18.03,18.03,35.6,NA,0.18,0.08,"gC m-3",NA,NA,NA,NA,NA,NA,2340000,2.99e+08,497000,7180000,3910000,1380000,459000,151000,23100,21100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.184479917,"","Phytoplankton","phytoplankton","4",0.0718820073061254,"forestgreen","phytoplankton",-1.184479917,-1.0839702215394,-1.01010539705478,0.0054761979768685,0.639683811191084,0.93185714605728
"469","#REF!","AMT1","AMT1_10","","1995-09-29",-19.9905,37.9107,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,90,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",18,326.601532,36,"5",8.238665,0.040104,1,1,21.74,15.62,36.07,NA,0.21,0.48,"gC m-3",NA,NA,NA,NA,NA,NA,3320000,2.2e+08,456000,323000,1300000,160000,370000,426000,23100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.190806809,"","Phytoplankton","phytoplankton","4",0.0827853703164501,"forestgreen","phytoplankton",-1.190806809,-0.95562540358589,-0.797320457519149,0.0294433243951103,0.515216892224747,0.834344142095096
"470","#REF!","AMT1","AMT1_11","","1995-09-30",-20.8778,33.5972,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,7,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",20,302.706085,36,"5",8.246818,0.031164,0,1,23.33,23.33,36.72,NA,0.12,0.09,"gC m-3",NA,NA,NA,NA,NA,NA,2830000,2.61e+08,497000,1760000,1370000,1380000,296000,176000,23100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.185384322,"","Phytoplankton","phytoplankton","4",0.0492180226701817,"forestgreen","phytoplankton",-1.185384322,-1.02053472661181,-0.899864220089021,0.0171073231014611,0.579966041721054,0.881757569462219
"472","#REF!","AMT1","AMT1_13","","1995-10-02",-21.8312,27.3734,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,7,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",22,306.555847,37,"5",8.230995,0.028228,0,1,16.37,16.37,NA,NA,0.06,0.09,"gC m-3",NA,NA,NA,NA,NA,NA,4090000,2.34e+08,663000,228000,1850000,1760000,708000,226000,23100,21100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.140682261,"","Phytoplankton","phytoplankton","4",0.0253058652647703,"forestgreen","phytoplankton",-1.140682261,-0.997256548182047,-0.899719822652433,0.00807973858072233,0.604930702498879,0.902194951030987
"480","#REF!","AMT1","AMT1_21","","1995-10-06",-22.2151,9.2381,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,7,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",26,471,35,"4",8.204077,0.03701,0,2,28.28,28.28,35.71,NA,0.19,0.09,"gC m-3",NA,NA,NA,NA,NA,NA,4840000,4.25e+08,103000,228000,1510000,2260000,296000,252000,92500,21100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.121002844,"","Phytoplankton","phytoplankton","4",0.0755469613925307,"forestgreen","phytoplankton",-1.121002844,-0.894988925243719,-0.777089081886407,0.0325907410060909,0.454260308632952,0.868266701372639
"485","#REF!","AMT1","AMT1_26","","1995-10-08",-25.7013,1.3923,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,80,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,427.760742,35,"4",8.224397,0.038936,0,1,27.07,24.3,35.78,NA,0.66,2.69,"gC m-3",NA,NA,NA,NA,NA,NA,4420000,4.33e+08,3450000,6430000,2510000,3060000,768000,NA,NA,21100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.838906961,"","Phytoplankton","phytoplankton","4",0.220108088040055,"forestgreen","phytoplankton",-0.838906961,-1.09311807179276,-1.02519560438065,0.0146500155406235,0.657176392747473,0.937863558233274
"488","#REF!","AMT1","AMT1_29","","1995-10-10",-29.5112,-7.0131,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,7,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,248.656738,36,"4",8.248875,0.026995,0,1,NA,NA,36.65,NA,0.31,0.09,"gC m-3",NA,NA,NA,NA,NA,NA,2830000,3.99e+08,332000,1790000,1440000,1430000,222000,100000,23100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.221036709,"","Phytoplankton","phytoplankton","4",0.117271295655764,"forestgreen","phytoplankton",-1.221036709,-1.08600977574039,-0.914430934209548,0.0201143921272889,0.56150141787891,0.842009855377344
